Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
1680	41.8416	2.9126			20.0250	2.1572	32.8950	400.9989
1681	41.8546	2.9135			19.4150	2.1566	32.8950	376.9411
1682	41.8676	2.9143			19.7169	2.1560	32.8950	388.7558
1683	41.8806	2.9152			19.5244	2.1553	32.8950	381.2039
1684	41.8936	2.9161			19.4656	2.1547	32.8950	378.9099
1685	41.9066	2.9169			19.8008	2.1540	32.8950	392.0717
1686	41.9196	2.9178			20.2313	2.1534	32.8950	409.3038
1687	41.9326	2.9187			20.5040	2.1528	32.8950	420.4122
1688	41.9456	2.9195			20.1236	2.1521	32.8950	404.9603
1689	41.9586	2.9204			20.3094	2.1515	32.8950	412.4701
1690	41.9716	2.9213			19.6715	2.1509	32.8950	386.9694
1691	41.9846	2.9221			19.3335	2.1502	32.8950	373.7826
1692	41.9976	2.9230			19.9078	2.1496	32.8950	396.3207
1693	42.0106	2.9238			20.1046	2.1489	32.8950	404.1937
1694	42.0236	2.9247			19.8553	2.1483	32.8950	394.2323
1695	42.0366	2.9256			20.2258	2.1477	32.8950	409.0839
1696	42.0496	2.9264			20.0250	2.1470	32.8950	401.0000
1697	42.0626	2.9273			19.9304	2.1464	32.8950	397.2211
1698	42.0756	2.9282			19.4928	2.1458	32.8950	379.9711
1699	42.0886	2.9290			19.6485	2.1451	32.8950	386.0635
1700	42.1016	2.9299			19.8599	2.1445	32.8950	394.4140
1701	42.1146	2.9308			20.1452	2.1439	32.8950	405.8301
1702	42.1276	2.9316			19.6401	2.1432	32.8950	385.7329
1703	42.1406	2.9325			19.9264	2.1426	32.8950	397.0607
1704	42.1536	2.9333			21.0294	2.1420	32.8950	442.2375
1705	42.1666	2.9342			20.4270	2.1414	32.8950	417.2609
1706	42.1796	2.9351			20.2668	2.1407	32.8950	410.7422
1707	42.1926	2.9359			20.4518	2.1401	32.8950	418.2745
1708	42.2056	2.9368			20.2315	2.1395	32.8950	409.3131
1709	42.2186	2.9377			20.3522	2.1388	32.8950	414.2108
1710	42.2316	2.9385			20.4430	2.1382	32.8950	417.9144
1711	42.2446	2.9394			20.3937	2.1376	32.8950	415.9014
1712	42.2576	2.9402			20.3179	2.1370	32.8950	412.8165
1713	42.2706	2.9411			20.1194	2.1363	32.8950	404.7918
1714	42.2836	2.9420			19.7267	2.1357	32.8950	389.1422
1715	42.2966	2.9428			20.8491	2.1351	32.8950	434.6857
1716	42.3096	2.9437			20.3073	2.1345	32.8950	412.3853
1717	42.3226	2.9446			20.8886	2.1338	32.8950	436.3331
1718	42.3356	2.9454			20.5794	2.1332	32.8950	423.5124
1719	42.3486	2.9463			19.6422	2.1326	32.8950	385.8143
1720	42.3616	2.9472			20.5823	2.1320	32.8950	423.6294
1721	42.3746	2.9480			20.2516	2.1313	32.8950	410.1282
1722	42.3876	2.9489			20.3376	2.1307	32.8950	413.6186
1723	42.4006	2.9497			19.6385	2.1301	32.8950	385.6725
1724	42.4136	2.9506			19.8000	2.1295	32.8950	392.0387
1725	42.4266	2.9515			19.8468	2.1288	32.8950	393.8939
1726	42.4396	2.9523			20.2681	2.1282	32.8950	410.7964
1727	42.4526	2.9532			19.3304	2.1276	32.8950	373.6655
1728	42.4656	2.9541			19.9128	2.1270	32.8950	396.5179
1729	42.4786	2.9549			20.3004	2.1263	32.8950	412.1053
1730	42.4916	2.9558			19.8428	2.1257	32.8950	393.7360
1731	42.5046	2.9566			19.5360	2.1251	32.8950	381.6559
1732	42.5176	2.9575			19.5990	2.1245	32.8950	384.1224
1733	42.5306	2.9584			20.2948	2.1239	32.8950	411.8807
1734	42.5436	2.9592			20.6604	2.1233	32.8950	426.8511
1735	42.5566	2.9601			19.9700	2.1226	32.8950	398.8006
1736	42.5696	2.9610			19.4738	2.1220	32.8950	379.2280
1737	42.5826	2.9618			19.3907	2.1214	32.8950	376.0000
1738	42.5956	2.9627			19.8777	2.1208	32.8950	395.1239
1739	42.6086	2.9635			20.3058	2.1202	32.8950	412.3255
1740	42.6216	2.9644			20.1942	2.1195	32.8950	407.8038
1741	42.6346	2.9653			20.4867	2.1189	32.8950	419.7038
1742	42.6476	2.9661			20.3321	2.1183	32.8950	413.3957
1743	42.6606	2.9670			20.2237	2.1177	32.8950	409.0000
1744	42.6736	2.9679			20.5181	2.1171	32.8950	420.9922
1745	42.6866	2.9687			20.3000	2.1165	32.8950	412.0900
1746	42.6996	2.9696			19.4394	2.1159	32.8950	377.8914
1747	42.7126	2.9704			19.5938	2.1152	32.8950	383.9183
1748	42.7256	2.9713			20.3217	2.1146	32.8950	412.9720
1749	42.7386	2.9722			19.7205	2.1140	32.8950	388.8979
1750	42.7516	2.9730			20.1143	2.1134	32.8950	404.5862
1751	42.7646	2.9739			20.6441	2.1128	32.8950	426.1798
1752	42.7776	2.9747			20.3526	2.1122	32.8950	414.2271
1753	42.7906	2.9756			20.3775	2.1116	32.8950	415.2418
1754	42.8036	2.9765			20.3551	2.1110	32.8950	414.3318
1755	42.8166	2.9773			20.5263	2.1103	32.8950	421.3292
1756	42.8296	2.9782			20.2688	2.1097	32.8950	410.8230
1757	42.8426	2.9791			20.4352	2.1091	32.8950	417.5987
1758	42.8556	2.9799			20.6479	2.1085	32.8950	426.3349
1759	42.8686	2.9808			20.3931	2.1079	32.8950	415.8775
1760	42.8816	2.9816			20.4877	2.1073	32.8950	419.7466
1761	42.8946	2.9825			20.1511	2.1067	32.8950	406.0671
1762	42.9076	2.9834			20.1864	2.1061	32.8950	407.4923
1763	42.9206	2.9842			20.7654	2.1055	32.8950	431.2028
1764	42.9336	2.9851			20.2266	2.1049	32.8950	409.1164
1765	42.9466	2.9859			20.1459	2.1043	32.8950	405.8585
1766	42.9596	2.9868			20.5358	2.1036	32.8950	421.7188
1767	42.9726	2.9877			20.5327	2.1030	32.8950	421.5898
1768	42.9856	2.9885			20.5001	2.1024	32.8950	420.2524
1769	42.9986	2.9894			20.4242	2.1018	32.8950	417.1473
1770	43.0116	2.9902			20.6773	2.1012	32.8950	427.5526
1771	43.0246	2.9911			20.2577	2.1006	32.8950	410.3743
1772	43.0376	2.9920			19.9387	2.1000	32.8950	397.5519
1773	43.0506	2.9928			20.5007	2.0994	32.8950	420.2772
1774	43.0636	2.9937			20.5856	2.0988	32.8950	423.7674
1775	43.0766	2.9946			20.0505	2.0982	32.8950	402.0217
1776	43.0896	2.9954			20.1227	2.0976	32.8950	404.9219
1777	43.1026	2.9963			21.0969	2.0970	32.8950	445.0810
1778	43.1156	2.9971			21.5936	2.0964	32.8950	466.2843
1779	43.1286	2.9980			21.0638	2.0958	32.8950	443.6838
1780	43.1416	2.9989			21.8315	2.0952	32.8950	476.6162
1781	43.1546	2.9997			21.9058	2.0946	32.8950	479.8660
1782	43.1676	3.0006			21.6692	2.0940	32.8950	469.5526
1783	43.1806	3.0014			21.9140	2.0934	32.8950	480.2232
1784	43.1936	3.0023			22.0324	2.0928	32.8950	485.4265
1785	43.2066	3.0032			22.8819	2.0922	32.8950	523.5833
1786	43.2196	3.0040			23.0275	2.0916	32.8950	530.2679
1787	43.2326	3.0049			22.9165	2.0910	32.8950	525.1637
1788	43.2456	3.0057			23.0098	2.0904	32.8950	529.4522
1789	43.2586	3.0066			23.3104	2.0898	32.8950	543.3752
1790	43.2716	3.0075			23.3549	2.0892	32.8950	545.4498
1791	43.2846	3.0083			24.3033	2.0886	32.8950	590.6503
1792	43.2976	3.0092			24.9512	2.0880	32.8950	622.5620
1793	43.3106	3.0100			25.7980	2.0874	32.8950	665.5383
1794	43.3236	3.0109			27.1362	2.0868	32.8950	736.3722
1795	43.3366	3.0118			27.7954	2.0862	32.8950	772.5858
1796	43.3496	3.0126			28.5692	2.0856	32.8950	816.1984
1797	43.3626	3.0135			30.7876	2.0850	32.8950	947.8787
1798	43.3756	3.0143			32.8876	2.0844	32.8950	1081.5945
1799	43.3886	3.0152			35.4150	2.0838	32.8950	1254.2201
1800	43.4016	3.0161			39.7030	2.0832	32.8950	1576.3281
1801	43.4146	3.0169			43.8014	2.0826	32.8950	1918.5611
1802	43.4276	3.0178			49.6874	2.0821	32.8950	2468.8356
1803	43.4406	3.0186			56.7948	2.0815	32.8950	3225.6446
1804	43.4536	3.0195			63.9109	2.0809	32.8950	4084.6057
1805	43.4666	3.0204			71.0836	2.0803	32.8950	5052.8801
1806	43.4796	3.0212			73.9134	2.0797	32.8950	5463.1901
1807	43.4926	3.0221			70.5446	2.0791	32.8950	4976.5449
1808	43.5056	3.0229			60.7791	2.0785	32.8950	3694.1009
1809	43.5186	3.0238			51.6795	2.0779	32.8950	2670.7731
