Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
716	29.3116	2.0638			22.9647	3.0445	32.8950	527.3778
717	29.3246	2.0647			22.3636	3.0432	32.8950	500.1311
718	29.3376	2.0656			22.1340	3.0419	32.8950	489.9143
719	29.3506	2.0665			21.7741	3.0406	32.8950	474.1117
720	29.3636	2.0673			21.7654	3.0392	32.8950	473.7317
721	29.3766	2.0682			21.4547	3.0379	32.8950	460.3050
722	29.3896	2.0691			22.1011	3.0366	32.8950	488.4566
723	29.4026	2.0700			22.0562	3.0353	32.8950	486.4751
724	29.4156	2.0709			22.0976	3.0340	32.8950	488.3047
725	29.4286	2.0718			23.1061	3.0327	32.8950	533.8938
726	29.4416	2.0727			21.9525	3.0314	32.8950	481.9127
727	29.4546	2.0736			22.0841	3.0301	32.8950	487.7066
728	29.4676	2.0745			22.5725	3.0288	32.8950	509.5162
729	29.4806	2.0754			22.6544	3.0275	32.8950	513.2234
730	29.4936	2.0763			22.2396	3.0261	32.8950	494.6007
731	29.5066	2.0772			21.9243	3.0248	32.8950	480.6761
732	29.5196	2.0781			21.9314	3.0235	32.8950	480.9872
733	29.5326	2.0790			22.0883	3.0222	32.8950	487.8950
734	29.5456	2.0799			22.2179	3.0209	32.8950	493.6348
735	29.5586	2.0808			21.5612	3.0196	32.8950	464.8848
736	29.5716	2.0817			21.3501	3.0183	32.8950	455.8284
737	29.5846	2.0826			21.2303	3.0170	32.8950	450.7254
738	29.5976	2.0835			20.9375	3.0158	32.8950	438.3783
739	29.6106	2.0844			21.2352	3.0145	32.8950	450.9335
740	29.6236	2.0852			22.2795	3.0132	32.8950	496.3753
741	29.6366	2.0861			21.7920	3.0119	32.8950	474.8929
742	29.6496	2.0870			21.5490	3.0106	32.8950	464.3611
743	29.6626	2.0879			21.7675	3.0093	32.8950	473.8259
744	29.6756	2.0888			21.8174	3.0080	32.8950	476.0000
745	29.6886	2.0897			22.3904	3.0067	32.8950	501.3300
746	29.7016	2.0906			22.7510	3.0054	32.8950	517.6079
747	29.7146	2.0915			22.6543	3.0041	32.8950	513.2163
748	29.7276	2.0924			22.2421	3.0029	32.8950	494.7110
749	29.7406	2.0933			22.1962	3.0016	32.8950	492.6717
750	29.7536	2.0942			22.2491	3.0003	32.8950	495.0226
751	29.7666	2.0951			21.9788	2.9990	32.8950	483.0677
752	29.7796	2.0960			21.8802	2.9977	32.8950	478.7417
753	29.7926	2.0969			21.5478	2.9965	32.8950	464.3088
754	29.8056	2.0978			21.4732	2.9952	32.8950	461.0986
755	29.8186	2.0987			21.8573	2.9939	32.8950	477.7416
756	29.8316	2.0996			22.1498	2.9926	32.8950	490.6126
757	29.8446	2.1004			21.4846	2.9914	32.8950	461.5897
758	29.8576	2.1013			21.1313	2.9901	32.8950	446.5302
759	29.8706	2.1022			21.5112	2.9888	32.8950	462.7322
760	29.8836	2.1031			21.5850	2.9875	32.8950	465.9104
761	29.8966	2.1040			22.2033	2.9863	32.8950	492.9848
762	29.9096	2.1049			21.9138	2.9850	32.8950	480.2138
763	29.9226	2.1058			21.0285	2.9837	32.8950	442.1960
764	29.9356	2.1067			21.2269	2.9825	32.8950	450.5807
765	29.9486	2.1076			21.4401	2.9812	32.8950	459.6774
766	29.9616	2.1085			21.8812	2.9799	32.8950	478.7869
767	29.9746	2.1094			22.2129	2.9787	32.8950	493.4117
768	29.9876	2.1103			21.9926	2.9774	32.8950	483.6751
769	30.0006	2.1112			22.1071	2.9762	32.8950	488.7220
770	30.0136	2.1121			21.5131	2.9749	32.8950	462.8152
771	30.0266	2.1130			20.6591	2.9736	32.8950	426.7991
772	30.0396	2.1139			21.1706	2.9724	32.8950	448.1949
773	30.0526	2.1148			21.8847	2.9711	32.8950	478.9402
774	30.0656	2.1156			21.6649	2.9699	32.8950	469.3694
775	30.0786	2.1165			21.6796	2.9686	32.8950	470.0034
776	30.0916	2.1174			21.6924	2.9674	32.8950	470.5587
777	30.1046	2.1183			20.9405	2.9661	32.8950	438.5044
778	30.1176	2.1192			21.3126	2.9649	32.8950	454.2266
779	30.1306	2.1201			21.7008	2.9636	32.8950	470.9262
780	30.1436	2.1210			21.7956	2.9624	32.8950	475.0485
781	30.1566	2.1219			21.3023	2.9611	32.8950	453.7880
782	30.1696	2.1228			20.8684	2.9599	32.8950	435.4905
783	30.1826	2.1237			20.7842	2.9586	32.8950	431.9820
784	30.1956	2.1246			21.6672	2.9574	32.8950	469.4659
785	30.2086	2.1255			22.8109	2.9561	32.8950	520.3373
786	30.2216	2.1264			22.4093	2.9549	32.8950	502.1757
787	30.2346	2.1273			21.1714	2.9536	32.8950	448.2278
788	30.2476	2.1282			21.6255	2.9524	32.8950	467.6620
789	30.2606	2.1290			21.4182	2.9512	32.8950	458.7380
790	30.2736	2.1299			21.0347	2.9499	32.8950	442.4583
791	30.2866	2.1308			21.0224	2.9487	32.8950	441.9393
792	30.2996	2.1317			21.8494	2.9475	32.8950	477.3942
793	30.3126	2.1326			21.8656	2.9462	32.8950	478.1045
794	30.3256	2.1335			22.2627	2.9450	32.8950	495.6297
795	30.3386	2.1344			21.1740	2.9438	32.8950	448.3386
796	30.3516	2.1353			21.4140	2.9425	32.8950	458.5588
797	30.3646	2.1362			21.4866	2.9413	32.8950	461.6760
798	30.3776	2.1371			21.1220	2.9401	32.8950	446.1393
799	30.3906	2.1380			20.3245	2.9388	32.8950	413.0840
800	30.4036	2.1389			21.6678	2.9376	32.8950	469.4955
801	30.4166	2.1398			21.5102	2.9364	32.8950	462.6892
802	30.4296	2.1407			21.4351	2.9352	32.8950	459.4625
803	30.4426	2.1416			22.0339	2.9339	32.8950	485.4923
804	30.4556	2.1424			21.7701	2.9327	32.8950	473.9352
805	30.4686	2.1433			21.7271	2.9315	32.8950	472.0674
806	30.4816	2.1442			21.7942	2.9303	32.8950	474.9875
807	30.4946	2.1451			21.7705	2.9291	32.8950	473.9554
808	30.5076	2.1460			21.3805	2.9278	32.8950	457.1241
809	30.5206	2.1469			22.3441	2.9266	32.8950	499.2594
810	30.5336	2.1478			20.9686	2.9254	32.8950	439.6830
811	30.5466	2.1487			20.9974	2.9242	32.8950	440.8888
812	30.5596	2.1496			21.9540	2.9230	32.8950	481.9794
813	30.5726	2.1505			21.8710	2.9218	32.8950	478.3415
814	30.5856	2.1514			22.2020	2.9205	32.8950	492.9306
815	30.5986	2.1523			21.9124	2.9193	32.8950	480.1514
816	30.6116	2.1532			21.5920	2.9181	32.8950	466.2135
817	30.6246	2.1540			21.9582	2.9169	32.8950	482.1646
818	30.6376	2.1549			21.2354	2.9157	32.8950	450.9414
819	30.6506	2.1558			20.8901	2.9145	32.8950	436.3974
820	30.6636	2.1567			22.3137	2.9133	32.8950	497.9015
821	30.6766	2.1576			22.6124	2.9121	32.8950	511.3185
822	30.6896	2.1585			22.3999	2.9109	32.8950	501.7546
823	30.7026	2.1594			21.3767	2.9097	32.8950	456.9629
824	30.7156	2.1603			21.2093	2.9085	32.8950	449.8339
825	30.7286	2.1612			21.9012	2.9073	32.8950	479.6647
826	30.7416	2.1621			22.1375	2.9061	32.8950	490.0705
827	30.7546	2.1630			21.4391	2.9049	32.8950	459.6372
828	30.7676	2.1639			21.7223	2.9037	32.8950	471.8563
829	30.7806	2.1648			20.5831	2.9025	32.8950	423.6655
830	30.7936	2.1657			21.2142	2.9013	32.8950	450.0437
831	30.8066	2.1665			21.9343	2.9001	32.8950	481.1122
832	30.8196	2.1674			21.6364	2.8989	32.8950	468.1359
833	30.8326	2.1683			22.0584	2.8977	32.8950	486.5732
834	30.8456	2.1692			22.0496	2.8965	32.8950	486.1834
835	30.8586	2.1701			21.6784	2.8953	32.8950	469.9537
836	30.8716	2.1710			21.6301	2.8941	32.8950	467.8595
837	30.8846	2.1719			21.1458	2.8930	32.8950	447.1465
838	30.8976	2.1728			22.2328	2.8918	32.8950	494.2975
