Nr.	Pos. [°2Th.]	d-Wert [Å]	Höhe [cts]	FWHM links [°2Th.]	FWHM rechts [°2Th.]	Form links	Form rechts	Integrale Breite [°2Th.]	Fläche [cts*°2Th.]	Untergr.[cts]	Status	nur Kristallitgrösse [Å]	nur Mikrostrain [%]	Kristallitgrösse [Å]	Microstrain [%]
1	39.7331(8)	2.26672	5161.92	0.782(3)		1.27(1)		1.082285	5587(15)	1382.14	einbezogene	91	1.24471	128	0.57186
2	46.130(2)	1.96616	1454.09	1.365(9)		1.35(3)		1.844169	2682(15)	1447.32	einbezogene	53	1.84769	80	0.92846
3	67.532(3)	1.38593	1282.72	1.39(2)		30(58)		1.491857	1914(33)	1630.12	einbezogene	72	0.95926	-2780	0.95915
4	81.295(3)	1.18252	1381.26	1.77(1)		1.62(9)		2.261047	3123(67)	1802.80	einbezogene	53	1.12142	99	0.69550
5	85.787(6)	1.13173	593.89	1.23(2)		1.4(2)		1.649396	980(57)	1848.66	einbezogene	76	0.74840	119	0.39701
6	103.64(7)	0.97996	76.12	2.4(2)		30(462)		2.611029	199(72)	2082.07	einbezogene	55	0.88308	-4163	0.88298
7	118.035(7)	0.89849	817.38	2.77(2)		2.5(2)		3.271413	2674(27)	2366.99	einbezogene	54	0.83105	173	0.65602
8	123.06(1)	0.87626	710.91	3.61(3)		2.2(2)		4.332582	3080(38)	2476.55	einbezogene	44	0.99972	120	0.74984
