Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
6120	99.5556	6.2281			44.4749	1.0088	32.8950	1978.0169
6121	99.5686	6.2287			44.2101	1.0087	32.8950	1954.5294
6122	99.5816	6.2293			44.6841	1.0087	32.8950	1996.6722
6123	99.5946	6.2299			44.6029	1.0086	32.8950	1989.4210
6124	99.6076	6.2305			44.5467	1.0085	32.8950	1984.4059
6125	99.6206	6.2311			44.5821	1.0084	32.8950	1987.5594
6126	99.6336	6.2317			44.0754	1.0083	32.8950	1942.6447
6127	99.6466	6.2323			44.1036	1.0082	32.8950	1945.1266
6128	99.6596	6.2329			44.3983	1.0081	32.8950	1971.2060
6129	99.6726	6.2335			44.2679	1.0080	32.8950	1959.6450
6130	99.6856	6.2341			43.7262	1.0079	32.8950	1911.9790
6131	99.6986	6.2347			43.8407	1.0078	32.8950	1922.0035
6132	99.7116	6.2353			43.7358	1.0077	32.8950	1912.8240
6133	99.7246	6.2359			44.1320	1.0076	32.8950	1947.6367
6134	99.7376	6.2365			44.6626	1.0075	32.8950	1994.7450
6135	99.7506	6.2371			44.0615	1.0074	32.8950	1941.4192
6136	99.7636	6.2377			44.5296	1.0073	32.8950	1982.8866
6137	99.7766	6.2382			44.5917	1.0072	32.8950	1988.4163
6138	99.7896	6.2388			44.4941	1.0071	32.8950	1979.7276
6139	99.8026	6.2394			44.1106	1.0070	32.8950	1945.7440
6140	99.8156	6.2400			44.2856	1.0069	32.8950	1961.2173
6141	99.8286	6.2406			44.2267	1.0068	32.8950	1956.0047
6142	99.8416	6.2412			44.6258	1.0067	32.8950	1991.4630
6143	99.8546	6.2418			44.4689	1.0066	32.8950	1977.4793
6144	99.8676	6.2424			43.2664	1.0065	32.8950	1871.9856
6145	99.8806	6.2430			43.7465	1.0064	32.8950	1913.7557
6146	99.8936	6.2436			44.2497	1.0063	32.8950	1958.0399
6147	99.9066	6.2442			43.8834	1.0062	32.8950	1925.7510
6148	99.9196	6.2448			44.9969	1.0061	32.8950	2024.7208
6149	99.9326	6.2454			46.0302	1.0061	32.8950	2118.7782
