Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
2557	53.2446	3.6551			19.0428	1.7190	32.8950	362.6277
2558	53.2576	3.6560			19.4231	1.7186	32.8950	377.2573
2559	53.2706	3.6568			19.3785	1.7182	32.8950	375.5250
2560	53.2836	3.6576			19.3391	1.7178	32.8950	374.0000
2561	53.2966	3.6584			18.7255	1.7175	32.8950	350.6430
2562	53.3096	3.6593			19.0905	1.7171	32.8950	364.4488
2563	53.3226	3.6601			19.5919	1.7167	32.8950	383.8419
2564	53.3356	3.6609			19.7153	1.7163	32.8950	388.6913
2565	53.3486	3.6617			19.7536	1.7159	32.8950	390.2040
2566	53.3616	3.6626			19.0888	1.7155	32.8950	364.3807
2567	53.3746	3.6634			18.9764	1.7151	32.8950	360.1022
2568	53.3876	3.6642			19.4089	1.7147	32.8950	376.7061
2569	53.4006	3.6650			19.0488	1.7144	32.8950	362.8559
2570	53.4136	3.6659			18.7642	1.7140	32.8950	352.0960
2571	53.4266	3.6667			19.0656	1.7136	32.8950	363.4958
2572	53.4396	3.6675			18.7976	1.7132	32.8950	353.3484
2573	53.4526	3.6684			18.7572	1.7128	32.8950	351.8344
2574	53.4656	3.6692			19.1113	1.7124	32.8950	365.2407
2575	53.4786	3.6700			18.5715	1.7120	32.8950	344.9005
2576	53.4916	3.6708			18.8362	1.7117	32.8950	354.8040
2577	53.5046	3.6717			19.2633	1.7113	32.8950	371.0739
2578	53.5176	3.6725			18.7660	1.7109	32.8950	352.1626
2579	53.5306	3.6733			18.8249	1.7105	32.8950	354.3767
2580	53.5436	3.6741			18.9602	1.7101	32.8950	359.4905
2581	53.5566	3.6750			19.6879	1.7097	32.8950	387.6131
2582	53.5696	3.6758			19.8904	1.7093	32.8950	395.6273
2583	53.5826	3.6766			19.6359	1.7090	32.8950	385.5673
2584	53.5956	3.6774			19.5702	1.7086	32.8950	382.9915
2585	53.6086	3.6783			19.1217	1.7082	32.8950	365.6392
2586	53.6216	3.6791			19.3875	1.7078	32.8950	375.8760
2587	53.6346	3.6799			19.7363	1.7074	32.8950	389.5226
2588	53.6476	3.6807			19.4165	1.7070	32.8950	377.0000
2589	53.6606	3.6816			19.5483	1.7067	32.8950	382.1372
2590	53.6736	3.6824			19.7613	1.7063	32.8950	390.5108
2591	53.6866	3.6832			19.6137	1.7059	32.8950	384.6988
2592	53.6996	3.6840			19.5289	1.7055	32.8950	381.3782
2593	53.7126	3.6849			19.2556	1.7051	32.8950	370.7792
